9,44,36,260,0,0,0,0,0,0
15,53,45,37,1,266,0,0,0,0
21,62,54,46,5,272,0,0,0,0
27,71,63,55,11,278,0,0,0,0
31,78,72,64,17,284,0,0,0,0
79,73,23,288,0,0,0,0,0,0
43,92,84,3,8,294,0,0,0,0
52,101,93,85,33,2,7,14,303,0
61,110,102,94,39,6,13,20,312,0
70,119,111,103,48,12,19,26,321,0
77,126,120,112,57,18,25,30,330,0
127,121,66,24,29,336,0,0,0,0
91,140,132,35,42,342,0,0,0,0
100,149,141,133,81,34,41,51,351,0
109,158,150,142,87,40,50,60,360,0
118,167,159,151,96,49,59,69,369,0
125,174,168,160,105,58,68,76,378,0
175,169,114,67,75,384,0,0,0,0
139,188,180,83,90,390,0,0,0,0
148,197,189,181,129,82,89,99,399,0
157,206,198,190,135,88,98,108,408,0
166,215,207,199,144,97,107,117,417,0
173,222,216,208,153,106,116,124,426,0
223,217,162,115,123,432,0,0,0,0
187,231,226,131,138,438,0,0,0,0
196,237,232,227,177,130,137,147,447,0
205,243,238,233,183,136,146,156,456,0
214,249,244,239,192,145,155,165,465,0
221,254,250,245,201,154,164,172,474,0
255,251,210,163,171,480,0,0,0,0
230,179,186,484,0,0,0,0,0,0
236,225,178,185,195,490,0,0,0,0
242,229,184,194,204,496,0,0,0,0
248,235,193,203,213,502,0,0,0,0
253,241,202,212,220,508,0,0,0,0
247,211,219,512,0,0,0,0,0,0
265,300,292,4,0,0,0,0,0,0
271,309,301,293,257,10,0,0,0,0
277,318,310,302,261,16,0,0,0,0
283,327,319,311,267,22,0,0,0,0
287,334,328,320,273,28,0,0,0,0
335,329,279,32,0,0,0,0,0,0
299,348,340,259,264,38,0,0,0,0
308,357,349,341,289,258,263,270,47,0
317,366,358,350,295,262,269,276,56,0
326,375,367,359,304,268,275,282,65,0
333,382,376,368,313,274,281,286,74,0
383,377,322,280,285,80,0,0,0,0
347,396,388,291,298,86,0,0,0,0
356,405,397,389,337,290,297,307,95,0
365,414,406,398,343,296,306,316,104,0
374,423,415,407,352,305,315,325,113,0
381,430,424,416,361,314,324,332,122,0
431,425,370,323,331,128,0,0,0,0
395,444,436,339,346,134,0,0,0,0
404,453,445,437,385,338,345,355,143,0
413,462,454,446,391,344,354,364,152,0
422,471,463,455,400,353,363,373,161,0
429,478,472,464,409,362,372,380,170,0
479,473,418,371,379,176,0,0,0,0
443,487,482,387,394,182,0,0,0,0
452,493,488,483,433,386,393,403,191,0
461,499,494,489,439,392,402,412,200,0
470,505,500,495,448,401,411,421,209,0
477,510,506,501,457,410,420,428,218,0
511,507,466,419,427,224,0,0,0,0
486,435,442,228,0,0,0,0,0,0
492,481,434,441,451,234,0,0,0,0
498,485,440,450,460,240,0,0,0,0
504,491,449,459,469,246,0,0,0,0
509,497,458,468,476,252,0,0,0,0
503,467,475,256,0,0,0,0,0,0
